"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Apr 12 10:59:00 CST 2023","Wed Apr 12 10:59:00 CST 2023","0","test_case.ProductManger","test_add_product","TestAddProduct","","","test_add_product[添加商品成功（商品名称纯数字）]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:01 CST 2023","Wed Apr 12 10:59:01 CST 2023","0","test_case.ProductManger","test_add_product","TestAddProduct","","","test_add_product[添加商品失败（没有参数）]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:06 CST 2023","Wed Apr 12 10:59:06 CST 2023","0","test_case.UserManger","test_create_user","TestCreateUser","","","test_create_user[用户名为空]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:05 CST 2023","Wed Apr 12 10:59:05 CST 2023","0","test_case.RoleManger","test_role_empower","TestRoleEmpower","","","test_role_empower[角色授权失败（缺少rids参数）]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:10 CST 2023","Wed Apr 12 10:59:10 CST 2023","0","test_case.UserManger","test_update_user_status","TestUpdateUserStatus","","","test_update_user_status[修改用户状态失败（id包含特殊字符）]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:03 CST 2023","Wed Apr 12 10:59:03 CST 2023","0","test_case.PurviewManger","test_get_all_purview_list","TestGetAllPurviewList","","","test_get_all_purview_list[获取所有权限列表失败]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:06 CST 2023","Wed Apr 12 10:59:06 CST 2023","0","test_case.UserManger","test_assign_user_roles","TestAssignUserRoles","","","test_assign_user_roles[分配用户角色失败（id包含特殊字符）]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:01 CST 2023","Wed Apr 12 10:59:01 CST 2023","0","test_case.ProductManger","test_edit_product","TestEditProduct","","","test_edit_product[编辑商品成功（全部参数）]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:08 CST 2023","Wed Apr 12 10:59:08 CST 2023","0","test_case.UserManger","test_get_user_data_list","TestGetUserDataList","","","test_get_user_data_list[获取用户数据列表失败（pagesize为空）]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:02 CST 2023","Wed Apr 12 10:59:02 CST 2023","0","test_case.ProductManger","test_query_product_specified_id","TestQueryProductSpecifiedId","","","test_query_product_specified_id[查询指定ID的商品成功]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:04 CST 2023","Wed Apr 12 10:59:04 CST 2023","0","test_case.RoleManger","test_add_role","TestAddRole","","","test_add_role[添加角色失败（角色名称纯字母）]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:04 CST 2023","Wed Apr 12 10:59:04 CST 2023","0","test_case.RoleManger","test_delete_role_empower","TestDeleteRoleEmpower","","","test_delete_role_empower[删除角色指定权限成功]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:03 CST 2023","Wed Apr 12 10:59:03 CST 2023","0","test_case.Query","test_query_college_info","TestQueryCollegeInfo","","","test_query_college_info[真实大学-厦门大学]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:00 CST 2023","Wed Apr 12 10:59:00 CST 2023","0","test_case.ProductManger","test_add_product","TestAddProduct","","","test_add_product[添加商品失败（introduce为空）]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:11 CST 2023","Wed Apr 12 10:59:11 CST 2023","0","test_case.UserManger","test_update_user_status","TestUpdateUserStatus","","","test_update_user_status[修改用户状态成功（state为纯字母）]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:01 CST 2023","Wed Apr 12 10:59:01 CST 2023","0","test_case.ProductManger","test_edit_product","TestEditProduct","","","test_edit_product[编辑商品成功（商品名称为纯字母）]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:01 CST 2023","Wed Apr 12 10:59:01 CST 2023","0","test_case.ProductManger","test_add_product","TestAddProduct","","","test_add_product[添加商品失败（修改goods_name为abc参数）]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:11 CST 2023","Wed Apr 12 10:59:11 CST 2023","0","test_case.UserManger","test_update_user_status","TestUpdateUserStatus","","","test_update_user_status[修改用户状态成功（state为纯数字）]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:04 CST 2023","Wed Apr 12 10:59:04 CST 2023","0","test_case.RoleManger","test_add_role","TestAddRole","","","test_add_role[添加角色失败（没有参数）]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:01 CST 2023","Wed Apr 12 10:59:01 CST 2023","0","test_case.ProductManger","test_edit_product","TestEditProduct","","","test_edit_product[编辑商品成功（商品名称为纯数字）]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:10 CST 2023","Wed Apr 12 10:59:10 CST 2023","0","test_case.UserManger","test_update_user_status","TestUpdateUserStatus","","","test_update_user_status[修改用户状态失败（id为字符串）]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:01 CST 2023","Wed Apr 12 10:59:01 CST 2023","0","test_case.ProductManger","test_edit_product","TestEditProduct","","","test_edit_product[编辑商品失败（商品名称为空）]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:07 CST 2023","Wed Apr 12 10:59:07 CST 2023","0","test_case.UserManger","test_create_user","TestCreateUser","","","test_create_user[密码为纯数字]","
        :param :
        :return:
        "
